black;track_1;
;;;;;;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;t2;;;;;;
;;;;;;t2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;t2;;;;;;
;;;;;;t2;i2.w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;i3.w2;t2;;;;;;
;;;;;;t2;i2.w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;i3.w2;t2;;;;;;
;;;;;;t2;i2.w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;i3.w2;t2;;;;;;
;t2;t2;t2;t2;t2;t2;i2.w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;i3.w2;t2;t2;t2;t2;t2;t2;
;t2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;i0.w2;i0.w2;i0.w2;i0.w2;i0.w2;t2;
;t2.r1;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;t2.r0;
;t2.r1;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;t2.r0;
;t2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;t2;
;t2;w2;w2.o200;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;t2;
;t2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;w2;p00101.w2;w2;w2;t2;
;t2;t2;t2;t2;t2;t2;w2;w2;w2;v052.w2;w2;w2;w2;v053.w2;w2;w2;w2;v052.w2;w2;w2;w2;v053.w2;w2;w2;w2;v052.w2;w2;w2;w2;v053.w2;w2;w2;t2;t2;t2;t2;t2;t2;
